account_rewards,date
-76.41650390625,2019-12-10
7398.085845947266,2019-12-11
3339.0478897094727,2019-12-12
9748.344398498535,2019-12-13
-3820.9049072265625,2019-12-16
-4381.880744934082,2019-12-17
9674.87875366211,2019-12-18
7231.211975097656,2019-12-19
2821.5134353637695,2019-12-20
-2218.834800720215,2019-12-23
3879.897903442383,2019-12-24
3950.9455947875977,2019-12-26
-11348.92278289795,2019-12-27
3987.248863220215,2019-12-30
6311.356101989746,2019-12-31
-9177.66756439209,2020-01-02
1828.7060317993164,2020-01-03
-7957.743232727051,2020-01-06
7913.398391723633,2020-01-07
4009.5760955810547,2020-01-08
-3466.7473220825195,2020-01-09
-1976.330062866211,2020-01-10
3314.950843811035,2020-01-13
11639.11450958252,2020-01-14
9047.535736083984,2020-01-15
4821.169128417969,2020-01-16
-196.56951141357422,2020-01-17
3330.751724243164,2020-01-21
-14178.331275939941,2020-01-22
-9870.536331176758,2020-01-23
-15449.855575561523,2020-01-24
-3714.719657897949,2020-01-27
-10652.64291381836,2020-01-28
5386.262413024902,2020-01-29
-23456.06322479248,2020-01-30
6968.400985717773,2020-01-31
13791.74324798584,2020-02-03
30612.709350585938,2020-02-04
-77.9017333984375,2020-02-05
-10976.45133972168,2020-02-06
4295.806449890137,2020-02-07
-898.7546920776367,2020-02-10
14516.06787109375,2020-02-11
-1360.1401138305664,2020-02-12
744.6987380981445,2020-02-13
-4586.763626098633,2020-02-14
5266.686347961426,2020-02-18
-3923.7931365966797,2020-02-19
-5720.673828125,2020-02-20
-50320.50273895264,2020-02-21
-44486.05207824707,2020-02-24
-9134.177238464355,2020-02-25
-43654.53639984131,2020-02-26
-8331.279865264893,2020-02-27
60253.7120552063,2020-02-28
-38691.41979217529,2020-03-02
70163.12020874023,2020-03-03
-31028.633041381836,2020-03-04
-3141.8567123413086,2020-03-05
-75625.36910247803,2020-03-06
50965.13505554199,2020-03-09
-58717.38768005371,2020-03-10
-108539.78648376465,2020-03-11
92269.96859741211,2020-03-12
-127557.16584396362,2020-03-13
71622.70519256592,2020-03-16
-54414.057929992676,2020-03-17
-8497.278755187988,2020-03-18
-49983.20615005493,2020-03-19
-46126.64390182495,2020-03-20
92591.19359207153,2020-03-23
5954.1970863342285,2020-03-24
66579.10955047607,2020-03-25
-25525.2548828125,2020-03-26
37336.02360534668,2020-03-27
-23132.67578125,2020-03-30
-38483.25533294678,2020-03-31
29753.963958740234,2020-04-01
-24109.66248703003,2020-04-02
64932.633964538574,2020-04-03
-4277.276908874512,2020-04-06
42050.43402862549,2020-04-07
3323.5533599853516,2020-04-08
-8063.909156799316,2020-04-09
33446.31896972656,2020-04-13
-23783.773406982422,2020-04-14
871.1985931396484,2020-04-15
27892.75648498535,2020-04-16
-32651.785720825195,2020-04-17
-18541.177375793457,2020-04-20
14576.078063964844,2020-04-21
9765.579292297363,2020-04-22
10398.116020202637,2020-04-23
18121.263862609863,2020-04-24
1020.7864608764648,2020-04-27
18713.879920959473,2020-04-28
-17189.647651672363,2020-04-29
-28888.82024383545,2020-04-30
2908.713363647461,2020-05-01
5904.137023925781,2020-05-04
-17254.460998535156,2020-05-05
3729.046619415283,2020-05-06
22468.426441192627,2020-05-07
-8828.040031433105,2020-05-08
-18806.98809814453,2020-05-11
-30134.14250946045,2020-05-12
16171.596740722656,2020-05-13
7132.677017211914,2020-05-14
43040.36701965332,2020-05-15
-21197.265594482422,2020-05-18
14868.331970214844,2020-05-19
